emotion,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
neutral,-694.2315,50.040554,0.55226666,14.545629,3.444762,-2.4693272,-3.988867,-10.599405,-7.2048903,1.9541297,-4.2952814,2.2685385,-5.363429,0.54884493,0.6030794,0.53133404,0.49863344,0.52705157,0.5721853,0.5622753,0.628128,0.65716755,0.69171625,0.6511342,0.5984813
neutral,-683.9196,49.147438,-1.7723218,19.475555,1.9769548,-0.55906355,-4.7360053,-12.186054,-5.4750223,2.4511197,-4.1994586,1.8152306,-5.2390347,0.5546995,0.58132774,0.53836524,0.47252154,0.49861962,0.55617344,0.50814456,0.5541649,0.59172386,0.6633901,0.64235425,0.5876462
neutral,-678.07904,51.52771,-0.038086865,14.368165,0.8338912,-0.18541197,-6.124986,-10.725261,-7.6141896,1.4321214,-3.8672495,2.2190194,-5.85153,0.6074874,0.57828623,0.5033126,0.55607414,0.54159963,0.52440804,0.5445101,0.585851,0.6660828,0.66100764,0.57143915,0.52891475
neutral,-674.43964,50.828194,1.7249597,14.461126,3.074211,1.7510953,-7.5708923,-11.271994,-7.13256,2.0016143,-2.714117,0.932739,-4.972868,0.60083157,0.50225717,0.47064415,0.5097824,0.5856866,0.59435517,0.55769616,0.6251583,0.6122945,0.57613873,0.59740996,0.5768865
calm,-709.8828,56.29944,2.662531,16.805483,3.5649443,-0.87476546,-5.644425,-8.770026,-8.923412,2.0694683,-4.683158,1.2033602,-5.316927,0.45194784,0.48611698,0.53306705,0.49642974,0.49102747,0.5426964,0.5206839,0.53273284,0.5592231,0.6125054,0.65507364,0.5554416
calm,-695.86975,61.8713,-0.8042816,14.567588,4.735579,-2.691877,-7.006919,-8.064504,-8.452818,2.1760664,-3.8065197,0.0072570816,-5.6784153,0.52984285,0.5095065,0.53746265,0.61002535,0.5542924,0.57778525,0.6454015,0.6235722,0.62400496,0.6085042,0.60546273,0.4981766
calm,-688.43396,58.45584,0.19532128,14.347579,2.147526,1.7945894,-6.217292,-8.795672,-8.008653,2.5240698,-2.255685,0.7496598,-5.339111,0.5082154,0.5175806,0.54557234,0.5641806,0.56890434,0.5551744,0.57406014,0.5931146,0.61074114,0.61783415,0.6125625,0.5067896
calm,-685.4515,62.541225,-0.8261391,16.144678,2.891825,1.5114288,-6.2234745,-8.806564,-7.2023883,1.1583246,-2.2637901,1.3000518,-4.9428387,0.47347343,0.5091019,0.5131392,0.5002195,0.48174682,0.523694,0.5503228,0.5713136,0.61646193,0.6515623,0.6453946,0.55258405
calm,-718.6157,64.94728,1.9010293,16.33155,4.0042405,-1.5176965,-5.8456135,-5.3711743,-8.0974455,2.5307677,-1.2224076,-0.30089906,-5.0555024,0.46738738,0.5208415,0.5375145,0.52431434,0.56376815,0.63319206,0.6892161,0.7026252,0.6129047,0.54439664,0.58542395,0.5362897
calm,-678.8852,60.24432,-2.4052527,13.981015,1.6262014,-2.2108362,-8.577353,-8.015344,-8.345558,2.991699,-2.512611,-1.5247275,-5.6491785,0.5020955,0.52050066,0.47950292,0.55476385,0.55922645,0.5558574,0.59258586,0.63821876,0.6375267,0.58560437,0.5451785,0.4957893
calm,-687.784,61.919678,2.9957113,11.420323,4.4978356,1.2314445,-8.976568,-6.93492,-8.936617,3.1329415,0.26412785,0.36995727,-4.83661,0.44660115,0.51945996,0.49512714,0.43760055,0.46511388,0.4713638,0.48256838,0.49885583,0.48995122,0.55522144,0.69832116,0.5526528
calm,-669.3351,56.184063,-3.9064758,15.831812,2.2213151,0.40576243,-10.832254,-10.301562,-7.9346514,4.79555,-2.0441551,-0.63307667,-7.124411,0.4421896,0.5354222,0.5416084,0.5119714,0.5299943,0.5928913,0.5922305,0.5849082,0.5377368,0.5399911,0.5548732,0.44158152
happy,-630.4844,55.85235,-4.846811,14.766146,-2.3529184,-4.4143267,-8.338184,-11.595629,-6.6747723,0.13697655,-8.877775,2.5722437,-8.064328,0.59697765,0.5329591,0.51000756,0.5626617,0.62791526,0.55353415,0.54746914,0.5634342,0.557771,0.5600883,0.5927594,0.5727832
happy,-610.3609,53.820595,-5.103017,17.301193,0.7623974,-5.3264484,-6.6245155,-12.669138,-6.569199,2.280546,-8.218486,5.0824437,-7.7346764,0.56277573,0.5462266,0.5078556,0.54956704,0.55003333,0.5401188,0.5096667,0.51980746,0.51292026,0.5379058,0.5989734,0.5695261
happy,-642.2666,54.739784,-1.5624719,12.108255,-1.5802337,-2.6530116,-9.055992,-13.778261,-8.004792,3.8767343,-8.001146,2.607437,-6.228378,0.4895379,0.4974351,0.52950215,0.49588606,0.44276434,0.46394473,0.46948352,0.5449703,0.60344684,0.5844654,0.5948151,0.60248506
happy,-635.335,48.80488,2.6291342,17.269691,-2.4149995,-0.032664973,-7.1056347,-13.695678,-8.430627,1.7542455,-5.919476,3.152414,-6.7574773,0.49660614,0.5053045,0.5177461,0.5149974,0.42451617,0.4479006,0.4547725,0.46732017,0.5448728,0.5436076,0.5966792,0.607026
happy,-583.44666,43.252106,-6.6012535,5.285235,-3.2655194,-6.4368243,-15.119597,-9.423281,-14.164571,0.6129295,-9.420697,0.22905575,-8.01488,0.44450885,0.42954925,0.554792,0.4898131,0.45339993,0.531357,0.54648334,0.561255,0.47439915,0.41400936,0.46996215,0.52352095
happy,-553.58167,48.836487,-12.891949,7.229859,-0.27535716,-7.6377225,-12.393135,-12.6224165,-13.238043,5.5585165,-10.277538,0.5783984,-5.8990626,0.42345506,0.49065942,0.42091906,0.41417176,0.48800632,0.56249845,0.5454388,0.58601004,0.56807977,0.45474908,0.4396644,0.3741495
happy,-503.05002,39.735077,-10.254747,7.5195665,-3.3695,-6.8978252,-13.012488,-16.885265,-11.619035,2.6081371,-12.242265,2.803939,-9.192976,0.40933844,0.420203,0.39705953,0.43813637,0.47803566,0.5688158,0.52177286,0.52434164,0.5512369,0.47977015,0.4749087,0.45087516
happy,-526.5468,41.82679,-10.284768,6.7137055,-5.5285788,-6.7096896,-13.495095,-16.288134,-13.732458,0.29332232,-9.905761,2.5674846,-8.198202,0.45984003,0.44976678,0.4382752,0.44102255,0.46219662,0.5588055,0.527279,0.521672,0.5667823,0.53040785,0.4539577,0.4584074
sad,-672.90015,56.01513,-3.0299668,18.127066,-1.5164064,-2.1759303,-8.54333,-12.892449,-7.3388257,-3.8717558,-2.8191936,-0.8846322,-8.236105,0.60499656,0.63699186,0.55299944,0.5242609,0.48806778,0.42718315,0.43075323,0.5022031,0.55055034,0.5630646,0.61676705,0.55614394
sad,-682.63196,58.302124,-2.717058,20.004091,0.23189484,1.0483509,-6.7968435,-11.829402,-8.780702,-1.4136031,-3.3442795,-1.7505807,-4.5795126,0.5284808,0.5324412,0.5220918,0.57105297,0.55081373,0.5241099,0.5225648,0.5864949,0.6065677,0.5257496,0.4773755,0.4516793
sad,-724.79913,53.721565,-4.574374,16.966185,-0.86598444,-1.1190157,-7.107028,-12.358787,-7.3665285,-0.28507468,-2.7335439,-1.0337759,-5.21055,0.5527522,0.5785513,0.54158396,0.60084605,0.5929117,0.52906865,0.54700226,0.5778038,0.6529207,0.73802555,0.6520687,0.5837157
sad,-701.4147,54.7576,-0.2366631,18.080446,-0.9444671,2.6285307,-6.0568852,-14.143858,-7.7798314,-1.5049688,-4.02643,0.4234725,-6.85462,0.5316005,0.4981395,0.47078183,0.51441425,0.5157211,0.5292456,0.5198537,0.53698015,0.56980586,0.58711267,0.6141173,0.6205546
sad,-663.14905,57.373806,0.19014995,20.223698,-0.32565826,-0.20812954,-6.662887,-10.965925,-4.409886,-1.3257084,-3.9688861,0.5965499,-7.1608896,0.57924247,0.5257479,0.45686588,0.4690299,0.49692893,0.526383,0.4962538,0.5325469,0.5473412,0.60778517,0.6939058,0.61079764
sad,-616.93207,44.39538,-5.405289,11.927896,-1.8766826,-7.3231387,-9.726254,-14.286551,-10.135011,-0.31393477,-9.5801115,2.3014092,-9.510462,0.5092801,0.51720726,0.48710483,0.48922536,0.5376569,0.5049964,0.5022253,0.60225934,0.5446493,0.4852442,0.5640159,0.58623457
